"name","costOfLivingIndex","rentIndex","restaurantsIndex","localPurchasingPowerIndex","pop2019"
"Greece","56.7200","11.4700","55.4200","48.4600","10473.4550"
"Bahrain","58.3600","31.2200","52.5300","63.8400","1641.1720"
"Cyprus","58.3900","20.7200","63.1400","67.2800","1198.5750"
"Taiwan","58.7700","15.4500","26.9500","74.1600","23773.8760"
"Lebanon","59.7400","26.2000","58.1300","50.7000","6855.7130"
"Libya","61.2500","15.1500","38.1100","55.9700","6777.4520"
"Qatar","62.2200","51.1800","63.9300","119.3300","2832.0670"
"United Arab Emirates","63.5800","45.0400","62.1700","100.5300","9770.5290"
"United Kingdom","65.3300","28.6900","72.5400","100.4600","67530.1720"
"Malta","65.4300","30.1400","73.5300","55.3400","440.3720"
"Germany","66.5700","27.0200","63.3800","111.9900","83517.0450"
"Puerto Rico","66.8100","18.4600","54.6400","93.0300","2933.4080"
"Canada","68.1600","30.2800","63.2500","105.0100","37411.0470"
"Italy","69.0200","21.6000","74.7200","73.4300","60550.0750"
"Sweden","70.1100","25.6500","72.1400","112.7500","10036.3790"
"United States","70.9500","40.5000","70.7600","119.1000","329064.9170"
"Austria","72.1500","27.8400","71.8100","89.8800","8955.1020"
"Finland","72.1800","26.3100","79.3900","108.7800","5532.1560"
"Seychelles","72.7500","32.7900","87.3700","21.5200","97.7390"
"New Zealand","73.0100","31.4400","69.9300","97.5900","4783.0630"
"Belgium","73.1300","26.0500","82.5300","93.1700","11539.3280"
"Australia","73.3900","35.3500","72.2300","118.0900","25203.1980"
"France","74.6200","26.1000","75.0900","87.7000","65129.7280"
"South Korea","75.1600","20.8700","43.2700","99.1300","51225.3080"
"Netherlands","75.2200","35.2900","82.9000","98.0400","17097.1300"
"Ireland","76.3300","43.9400","84.0800","90.8000","4882.4950"
"Hong Kong","79.2100","79.7200","55.6200","66.7900","7436.1540"
"Israel","79.5400","31.4900","88.7500","85.9600","8519.3770"
"Singapore","80.2300","61.9900","55.4100","88.8400","5804.3370"
